lng_wgs84,lat_wgs84,value
118.89857302417742,32.08926608577707,8
118.91655661029084,32.08301334830109,2
118.94607387492238,32.13000567557714,1
118.92196152452868,32.11898426137394,14
118.92641306382517,32.09147877459245,1
118.94515958227196,32.1628550620816,1
118.9737452358766,32.12644742741262,3
118.89316488436285,32.09470598145704,2
118.96033857798813,32.11950430471583,1
118.91120081330634,32.1243313047786,2
118.90038128127854,32.096127059988525,1
118.92551645498072,32.08841054566332,1
118.98449365776038,32.145482175565505,8
118.92017288680334,32.125858320736164,7
118.96033460093126,32.11338565815047,4
118.9585429361186,32.10495171901838,2
119.00337042796212,32.12296846506022,3
118.93981612287752,32.102368321828976,12
118.99617366915746,32.14146826388572,3
118.92819585863982,32.08308059942062,1
118.96391221960972,32.127948035004,3
118.91298231462088,32.10290877003827,4
118.98717727839863,32.155381085108644,13
118.9380477270428,32.13598935623203,4
118.97643116655432,32.1340845491474,3
118.9585564619183,32.125602450176096,1
118.99167465508872,32.148431401713616,3
118.99525659786376,32.16135513740297,3
118.92551335882123,32.08305497850795,1
118.94249237502152,32.155933454943224,1
118.94338235920895,32.15747660406518,5
118.95317501986749,32.08345919774112,1
118.95140640829568,32.10255876386486,2
118.89949749099044,32.11679292958023,2
118.90579297955108,32.105246914546235,7
118.97732694587944,32.12796353705652,4
118.96837918089513,32.12797251523581,8
118.91027361588073,32.08608838468595,2
118.90848128893673,32.09374997876102,4
118.92285134923796,32.14880500159324,1
118.94785511852729,32.12238868066844,1
118.89496438018996,32.08779068476293,2
118.91207145012356,32.08761061095824,35
118.976431012832,32.1348490462675,2
118.95585144110936,32.08579202228895,1
118.94606879890256,32.1445300104062,1
118.98629336411652,32.13628648369875,4
118.90308133012954,32.09303392400112,8
118.89586986527794,32.09236683619117,6
118.91209550801864,32.14344015664744,3
118.93445650823124,32.16268352659376,2
118.9478523324528,32.1170352655022,13
118.93713193544984,32.09314528383452,2
118.90308666025852,32.099154335304995,13
118.98270313522576,32.13938785807945,2
118.98806067806224,32.08654490188518,1
118.8985950103338,32.11527583153972,4
118.96837826374278,32.13714693224075,2
118.94338507725033,32.104722389541394,8
118.95585496272096,32.091147566134104,2
118.92732796119807,32.14425577386429,1
118.94605689736416,32.15752139947981,4
118.95854823615927,32.1110713138016,1
118.91389447151911,32.122793340592914,1
118.91299452797448,32.141908640970726,1
118.95140023943392,32.09567346933389,2
118.98718316699576,32.14926764093339,3
118.91388493567628,32.108261472558404,1
118.92911569093448,32.115985512472946,2
118.91837747527671,32.118205548002656,13
118.92105480920397,32.10444674699247,1
118.9120773358279,32.09526131472878,7
118.91479309726708,32.1266153669029,4
118.98629184497663,32.14010859789048,4
118.91477415424298,32.09908021830641,4
118.90487806453136,32.087659447275705,1
118.91836531731543,32.10290739795489,4
118.92820921582496,32.158020405493296,1
118.93088184287024,32.091527250520194,1
118.9084959585375,32.14957304599024,1
118.98360077312633,32.137849166354,2
118.93269368330874,32.13208809078266,18
118.90308459476408,32.09685921336616,4
118.9764282850476,32.14172885336591,1
